-4.96 1 0.05 0.531
-4.2 2.4 0.04 0.573
-3.8 3.2 0.04 0.597
-3.48 4 0.03 0.621
-3.08 5.2 0.03 0.657
-2.84 6 0.03 0.681
-2.52 7.6 0.03 0.729
-2.32 8.8 0.02 0.765
-2.12 9.8 0.02 0.795
-1.84 12 0.02 0.861
